level,benchmark,model,distribution,persistence,n,valid,lower_whisker,q1,median,q3,upper_whisker
0.05,VaR,GARCH,normal,low,5000,10000,0.6431650344179253,0.6820337092288614,0.6949267752413362,0.7080485386446582,0.7470608138316928
0.05,VaR,GARCH,t4,high,500,9988,0.4642806192064014,0.7334267664085969,0.8102264181849905,0.9133314617440218,1.1815650889537894
0.05,VaR,GARCH,t4,high,1000,10000,0.5592601903501028,0.7642724825817134,0.827259332821323,0.9095964217274376,1.1275213082468851
0.05,VaR,GARCH,t4,high,2500,10000,0.628854139727591,0.788232436181734,0.8363412375696063,0.8973596490010053,1.060897044569286
0.05,VaR,GARCH,t4,high,5000,10000,0.6709037267192974,0.797700256243876,0.836755890533377,0.8864051117019485,1.0193257225666963
0.05,VaR,GARCH,t4,low,500,9953,0.4620248583728662,0.7477739142405172,0.8273005059979264,0.9428140971712248,1.2351690769039785
0.05,VaR,GARCH,t4,low,1000,9990,0.5442455716744318,0.774646939655848,0.8421249516895668,0.9345669153330505,1.1741797453968736
0.05,VaR,GARCH,t4,low,2500,10000,0.6257769275785395,0.7963539438885263,0.8492772018155943,0.915632106762043,1.0944657032589065
0.05,VaR,GARCH,t4,low,5000,10000,0.6894758944336864,0.8049558676538245,0.848453429339743,0.9029715328472314,1.0499896336855228
0.05,VaR,GARCH,t8,high,500,9987,0.5343127997783002,0.6900268072421776,0.7365784846516269,0.7958593363586177,0.9542159271733232
0.05,VaR,GARCH,t8,high,1000,10000,0.5912560913888492,0.7070123023546473,0.7425292226614172,0.7862698695013353,0.9049135661534496
0.05,VaR,GARCH,t8,high,2500,10000,0.6371943552908553,0.7180686428805125,0.743714495359259,0.7727359057957206,0.8546325254842994
0.05,VaR,GARCH,t8,high,5000,10000,0.6593759945942383,0.7218213507707486,0.7405358252483327,0.7638278414465203,0.8268252296989143
0.05,VaR,GARCH,t8,low,500,9960,0.5461251577182709,0.6962963374893951,0.7442908661654132,0.8026888044863213,0.9622329053406558
0.05,VaR,GARCH,t8,low,1000,9997,0.5924224035745338,0.7108740652882706,0.7463818443035953,0.7906461142976087,0.9101454158733244
0.05,VaR,GARCH,t8,low,2500,10000,0.6378985472503089,0.7202597471663701,0.74516468937266,0.7755089552620086,0.8583752897118623
0.05,VaR,GARCH,t8,low,5000,10000,0.6589735171735323,0.7227955782921314,0.7421432735616729,0.7659514808333201,0.8306236166974363
0.05,VaR,GJR-GARCH,normal,high,500,9996,0.5671938087842266,0.6603551890433323,0.6906464137949505,0.7226226001601124,0.8160170794678058
0.05,VaR,GJR-GARCH,normal,high,1000,10000,0.6022350813764221,0.6716514712699684,0.6938713975736441,0.7179850286704036,0.7872891704625951
0.05,VaR,GJR-GARCH,normal,high,2500,10000,0.6341591046880088,0.6793684533587132,0.694378674189649,0.7095664372487074,0.7548446136595791
0.05,VaR,GJR-GARCH,normal,high,5000,10000,0.6469667652569737,0.6813447605055822,0.693256170732578,0.7047663474417876,0.7398740795780642
0.05,VaR,GJR-GARCH,normal,low,500,9998,0.5848572073218584,0.6706942343539486,0.697968062322051,0.7279516735545662,0.8135402006877653
